# TileX TileY ObjIdx X_local Y_local
3808 0 33 29.06 176.58
3920 0 1 97.12 142.86
3920 0 2 69.99 131.96
3920 0 3 66.00 138.01
3920 0 4 73.17 135.63
3920 0 5 34.36 139.17
3920 0 6 57.38 141.95
3920 0 7 80.47 147.52
3920 0 8 84.69 172.92
3920 0 9 115.70 160.53
3920 0 10 29.66 187.50
3920 0 11 37.46 188.81
3920 0 12 2.24 190.26
3920 0 13 125.27 198.66
3920 0 14 87.27 206.47
3920 0 15 15.74 220.67
3920 0 16 171.81 67.61
3920 0 17 106.33 11.97
3920 0 18 168.65 210.72
3920 0 19 92.98 185.73
3920 0 20 95.49 167.97
4032 0 1 3.70 160.53
4032 0 2 13.27 198.66
4032 0 3 124.59 139.57
4032 0 4 59.81 67.61
4032 0 5 188.47 216.83
4032 0 6 56.65 210.72
4144 0 1 12.59 139.57
4144 0 2 76.47 216.83
2576 112 1 156.95 211.64
2688 112 1 44.95 211.64
2912 112 1 223.33 192.29
2912 112 2 182.28 204.36
2912 112 3 144.70 206.32
2912 112 4 147.01 211.24
2912 112 5 119.64 221.27
2912 112 6 140.44 147.65
3024 112 1 188.44 187.19
3024 112 2 194.16 212.31
3024 112 3 111.33 192.29
3024 112 4 173.68 196.76
3024 112 5 202.81 200.31
3024 112 6 70.28 204.36
3024 112 7 120.30 203.64
3024 112 8 32.70 206.32
3024 112 9 146.60 211.83
3024 112 10 35.01 211.24
3024 112 11 7.64 221.27
3024 112 12 28.44 147.65
3024 112 13 139.01 205.49
3024 112 14 173.10 192.49
3136 112 1 76.44 187.19
3136 112 2 170.70 163.64
3136 112 3 166.13 165.88
3136 112 4 220.48 169.31
3136 112 5 122.41 166.00
3136 112 6 178.76 169.62
3136 112 7 150.77 172.75
3136 112 8 82.16 212.31
3136 112 9 122.68 178.32
3136 112 10 136.52 184.05
3136 112 11 186.00 190.00
3136 112 12 215.69 192.99
3136 112 13 61.68 196.76
3136 112 14 90.81 200.31
3136 112 15 177.46 205.99
3136 112 16 8.30 203.64
3136 112 17 34.60 211.83
3136 112 18 134.41 215.61
3136 112 19 27.01 205.49
3136 112 20 61.10 192.49
3248 112 1 128.81 146.35
3248 112 2 196.69 129.34
3248 112 3 146.50 145.72
3248 112 4 58.70 163.64
3248 112 5 212.53 149.46
3248 112 6 54.13 165.88
3248 112 7 206.57 151.51
3248 112 8 108.48 169.31
3248 112 9 10.41 166.00
3248 112 10 66.76 169.62
3248 112 11 205.30 192.50
3248 112 12 38.77 172.75
3248 112 13 10.68 178.32
3248 112 14 24.52 184.05
3248 112 15 74.00 190.00
3248 112 16 103.69 192.99
3248 112 17 217.74 196.01
3248 112 18 65.46 205.99
3248 112 19 22.41 215.61
3248 112 20 188.53 222.48
3248 112 21 124.14 83.65
3360 112 1 174.86 112.01
3360 112 2 146.51 121.54
3360 112 3 16.81 146.35
3360 112 4 84.69 129.34
3360 112 5 34.50 145.72
3360 112 6 151.46 140.48
3360 112 7 175.24 148.59
3360 112 8 100.53 149.46
3360 112 9 94.57 151.51
3360 112 10 93.30 192.50
3360 112 11 105.74 196.01
3360 112 12 76.53 222.48
3360 112 13 12.14 83.65
3360 112 14 124.47 141.39
3360 112 15 192.64 109.76
3360 112 16 157.46 128.45
3472 112 1 206.82 95.14
3472 112 2 175.94 88.45
3472 112 3 171.14 89.00
3472 112 4 196.16 106.58
3472 112 5 114.00 102.00
3472 112 6 62.86 112.01
3472 112 7 34.51 121.54
3472 112 8 187.22 123.55
3472 112 9 139.81 145.72
3472 112 10 148.43 135.20
3472 112 11 39.46 140.48
3472 112 12 157.79 148.56
3472 112 13 63.24 148.59
3472 112 14 219.30 165.92
3472 112 15 219.06 187.83
3472 112 16 168.97 213.00
3472 112 17 220.06 19.65
3472 112 18 12.47 141.39
3472 112 19 80.64 109.76
3472 112 20 45.46 128.45
3584 112 1 206.36 61.67
3584 112 2 194.42 65.02
3584 112 3 145.61 77.44
3584 112 4 94.82 95.14
3584 112 5 156.97 87.35
3584 112 6 63.94 88.45
3584 112 7 170.18 91.62
3584 112 8 59.14 89.00
3584 112 9 84.16 106.58
3584 112 10 183.00 103.47
3584 112 11 2.00 102.00
3584 112 12 137.57 105.47
3584 112 13 168.34 121.11
3584 112 14 162.80 148.99
3584 112 15 75.22 123.55
3584 112 16 137.74 128.98
3584 112 17 27.81 145.72
3584 112 18 36.43 135.20
3584 112 19 45.79 148.56
3584 112 20 180.83 149.51
3584 112 21 107.30 165.92
3584 112 22 128.54 202.37
3584 112 23 137.17 185.16
3584 112 24 107.06 187.83
3584 112 25 148.31 194.51
3584 112 26 220.86 198.28
3584 112 27 56.97 213.00
3584 112 28 218.05 78.17
3584 112 29 108.06 19.65
3584 112 30 142.61 205.22
3696 112 1 207.72 39.42
3696 112 2 197.50 39.44
3696 112 3 187.71 47.62
3696 112 4 172.57 44.50
3696 112 5 205.84 52.75
3696 112 6 161.01 47.76
3696 112 7 127.26 63.78
3696 112 8 128.03 53.00
3696 112 9 94.36 61.67
3696 112 10 138.36 69.83
3696 112 11 120.74 69.86
3696 112 12 82.42 65.02
3696 112 13 143.24 70.40
3696 112 14 33.61 77.44
3696 112 15 128.94 88.03
3696 112 16 44.97 87.35
3696 112 17 58.18 91.62
3696 112 18 71.00 103.47
3696 112 19 25.57 105.47
3696 112 20 141.62 112.72
3696 112 21 56.34 121.11
3696 112 22 191.31 119.35
3696 112 23 50.80 148.99
3696 112 24 25.74 128.98
3696 112 25 68.83 149.51
3696 112 26 137.35 155.99
3696 112 27 124.78 156.57
3696 112 28 169.30 173.32
3696 112 29 16.54 202.37
3696 112 30 25.17 185.16
3696 112 31 36.31 194.51
3696 112 32 108.86 198.28
3696 112 33 124.01 197.98
3696 112 34 206.21 210.38
3696 112 35 144.32 223.61
3696 112 36 106.05 78.17
3696 112 37 30.61 205.22
3696 112 38 217.35 46.54
3696 112 39 210.74 54.27
3696 112 40 207.29 47.51
3696 112 41 141.06 64.58
3808 112 1 209.12 30.86
3808 112 2 181.99 19.96
3808 112 3 178.00 26.01
3808 112 4 185.17 23.63
3808 112 5 146.36 27.17
3808 112 6 169.38 29.95
3808 112 7 95.72 39.42
3808 112 8 192.47 35.52
3808 112 9 85.50 39.44
3808 112 10 75.71 47.62
3808 112 11 60.57 44.50
3808 112 12 196.69 60.92
3808 112 13 93.84 52.75
3808 112 14 49.01 47.76
3808 112 15 15.26 63.78
3808 112 16 16.03 53.00
3808 112 17 26.36 69.83
3808 112 18 8.74 69.86
3808 112 19 141.66 75.50
3808 112 20 31.24 70.40
3808 112 21 149.46 76.81
3808 112 22 114.24 78.26
3808 112 23 199.27 94.47
3808 112 24 16.94 88.03
3808 112 25 127.74 108.67
3808 112 26 29.62 112.72
3808 112 27 146.03 124.67
3808 112 28 79.31 119.35
3808 112 29 118.28 141.69
3808 112 30 188.35 152.71
3808 112 31 126.61 162.89
3808 112 32 25.35 155.99
3808 112 33 12.78 156.57
